date,USA,FRA,ITA,BEL,DEU,CAN,AUS,GBR,JPN
1990-01-01,9358.289,368.384,,,,275.46825,206.89,305.893,
1990-04-01,9392.251,369.679,,,,274.3275,207.173,307.471,
1990-07-01,9398.499,371.314,,,,272.3865,205.931,304.257,
1990-10-01,9312.937,372.255,,,,269.959,207.139,303.21,
1991-01-01,9269.367,372.104,,,557.3467,266.1065,204.453,302.325,
1991-04-01,9341.642,373.362,,,554.39617,267.34725,204.195,301.943,
1991-07-01,9388.845,374.567,,,553.26133,267.70525,205.034,301.285,
1991-10-01,9421.565,376.16,,,560.44854,268.19925,205.172,301.811,
1992-01-01,9534.346,380.013,,,568.90282,268.39475,206.707,301.831,
1992-04-01,9637.732,379.699,,,564.51497,268.7225,208.193,301.474,
1992-07-01,9732.979,379.844,,,563.5315,270.1655,210.305,303.395,
1992-10-01,9834.51,379.042,,,561.7915,271.7025,214.62,305.506,
1993-01-01,9850.973,376.671,,,557.66818,273.44125,216.105,307.712,
1993-04-01,9908.347,376.929,,,557.51685,275.93075,217.327,309.236,
1993-07-01,9955.641,377.512,,,560.84578,278.5605,217.554,311.683,
1993-10-01,10091.049,378.318,,,560.31617,279.763,221.594,313.765,
1994-01-01,10188.954,381.156,,,568.1653,283.8855,225.301,317.468,111568.6
1994-04-01,10327.019,385.212,,,569.52707,288.034,228.104,321.166,110950.375
1994-07-01,10387.382,387.46,,,573.6124,291.71625,229.839,324.811,112233.625
1994-10-01,10506.372,390.869,,,580.27002,293.84475,232.09,326.734,111781.95
1995-01-01,10543.644,393.033,,71.086,578.30298,296.576,232.016,328.056,113019.75
1995-04-01,10575.1,394.682,,71.385,582.61531,296.69575,232.863,329.292,114085.475
1995-07-01,10665.06,395.31,,71.813,583.75013,297.08675,238.186,332.436,115425.225
1995-10-01,10737.478,396.018,,71.961,583.82579,298.30425,238.246,333.055,115702.5
1996-01-01,10817.896,398.253,379.2888,71.816,579.05954,298.5095,242.299,334.982,116660.925
1996-04-01,10998.322,399.235,379.5479,72.32,586.92762,300.588,244.023,336.145,118135.175
1996-07-01,11096.976,401.495,380.1371,72.653,588.9703,303.185,245.961,340.034,118286.425
1996-10-01,11212.205,402.063,379.0119,73.226,593.35825,305.62675,248.197,344.637,119603.425
1997-01-01,11284.587,403.434,380.3406,73.96,590.19942,309.6585,249.712,351.195,119916.85
1997-04-01,11472.137,408.009,385.143,75.104,597.76509,313.1565,257.072,354.286,119012.025
1997-07-01,11615.636,410.947,387.638,75.766,599.80785,316.8625,257.409,356.78,119250.425
1997-10-01,11715.393,415.644,394.3876,76.188,604.27161,319.93075,261.07,360.993,119292.15
1998-01-01,11832.486,419.166,391.9242,76.386,609.83197,324.4495,262.859,364.276,117839.7
1998-04-01,11942.032,423.0,394.0193,76.64,607.2598,324.62275,265.414,367.66,117323.9
1998-07-01,12091.614,425.988,394.4504,76.864,610.2859,327.5775,270.555,370.263,117535.625
1998-10-01,12287.0,429.107,392.6353,77.036,607.5624,332.03475,274.719,373.826,118479.425
1999-01-01,12403.293,431.489,395.2685,77.841,614.59838,338.05725,276.845,376.026,116849.075
1999-04-01,12498.694,435.163,396.6582,78.906,614.5984,340.88525,277.742,376.682,117294.25
