"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","Q","1989-Q2",6.164414,
"AUS","HUR","TOT","PC_LF","Q","1989-Q3",6.007802,
"AUS","HUR","TOT","PC_LF","Q","1989-Q4",5.853007,
"AUS","HUR","TOT","PC_LF","Q","1990-Q1",6.230017,
"AUS","HUR","TOT","PC_LF","Q","1990-Q2",6.464528,
"AUS","HUR","TOT","PC_LF","Q","1990-Q3",7.225374,
"AUS","HUR","TOT","PC_LF","Q","1990-Q4",7.867509,
"AUS","HUR","TOT","PC_LF","Q","1991-Q1",8.732559,
"AUS","HUR","TOT","PC_LF","Q","1991-Q2",9.633936,
"AUS","HUR","TOT","PC_LF","Q","1991-Q3",9.837148,
"AUS","HUR","TOT","PC_LF","Q","1991-Q4",10.21968,
"AUS","HUR","TOT","PC_LF","Q","1992-Q1",10.41661,
"AUS","HUR","TOT","PC_LF","Q","1992-Q2",10.63408,
"AUS","HUR","TOT","PC_LF","Q","1992-Q3",10.82272,
"AUS","HUR","TOT","PC_LF","Q","1992-Q4",11.14841,
"AUS","HUR","TOT","PC_LF","Q","1993-Q1",10.90242,
"AUS","HUR","TOT","PC_LF","Q","1993-Q2",10.84901,
"AUS","HUR","TOT","PC_LF","Q","1993-Q3",10.88773,
"AUS","HUR","TOT","PC_LF","Q","1993-Q4",10.88766,
"AUS","HUR","TOT","PC_LF","Q","1994-Q1",10.44069,
"AUS","HUR","TOT","PC_LF","Q","1994-Q2",9.883234,
"AUS","HUR","TOT","PC_LF","Q","1994-Q3",9.47555,
"AUS","HUR","TOT","PC_LF","Q","1994-Q4",9.056946,
"AUS","HUR","TOT","PC_LF","Q","1995-Q1",8.765957,
"AUS","HUR","TOT","PC_LF","Q","1995-Q2",8.36509,
"AUS","HUR","TOT","PC_LF","Q","1995-Q3",8.36902,
"AUS","HUR","TOT","PC_LF","Q","1995-Q4",8.390338,
"AUS","HUR","TOT","PC_LF","Q","1996-Q1",8.400742,
"AUS","HUR","TOT","PC_LF","Q","1996-Q2",8.415946,
"AUS","HUR","TOT","PC_LF","Q","1996-Q3",8.620715,
"AUS","HUR","TOT","PC_LF","Q","1996-Q4",8.620152,
"AUS","HUR","TOT","PC_LF","Q","1997-Q1",8.620425,
"AUS","HUR","TOT","PC_LF","Q","1997-Q2",8.482327,
"AUS","HUR","TOT","PC_LF","Q","1997-Q3",8.373758,
"AUS","HUR","TOT","PC_LF","Q","1997-Q4",7.976658,
"AUS","HUR","TOT","PC_LF","Q","1998-Q1",7.840315,
"AUS","HUR","TOT","PC_LF","Q","1998-Q2",7.733634,
"AUS","HUR","TOT","PC_LF","Q","1998-Q3",7.787715,
"AUS","HUR","TOT","PC_LF","Q","1998-Q4",7.374678,
"AUS","HUR","TOT","PC_LF","Q","1999-Q1",7.082227,
"AUS","HUR","TOT","PC_LF","Q","1999-Q2",6.886019,
"AUS","HUR","TOT","PC_LF","Q","1999-Q3",6.87414,
"AUS","HUR","TOT","PC_LF","Q","1999-Q4",6.633417,
"AUS","HUR","TOT","PC_LF","Q","2000-Q1",6.650708,
"AUS","HUR","TOT","PC_LF","Q","2000-Q2",6.302083,
"AUS","HUR","TOT","PC_LF","Q","2000-Q3",5.989491,
"AUS","HUR","TOT","PC_LF","Q","2000-Q4",6.17156,
"AUS","HUR","TOT","PC_LF","Q","2001-Q1",6.366835,
"AUS","HUR","TOT","PC_LF","Q","2001-Q2",6.869637,
"AUS","HUR","TOT","PC_LF","Q","2001-Q3",6.867266,
"AUS","HUR","TOT","PC_LF","Q","2001-Q4",6.979412,
"AUS","HUR","TOT","PC_LF","Q","2002-Q1",6.626871,
"AUS","HUR","TOT","PC_LF","Q","2002-Q2",6.404976,
"AUS","HUR","TOT","PC_LF","Q","2002-Q3",6.279915,
"AUS","HUR","TOT","PC_LF","Q","2002-Q4",6.15741,
"AUS","HUR","TOT","PC_LF","Q","2003-Q1",6.055958,
"AUS","HUR","TOT","PC_LF","Q","2003-Q2",6.051594,
"AUS","HUR","TOT","PC_LF","Q","2003-Q3",5.906565,
"AUS","HUR","TOT","PC_LF","Q","2003-Q4",5.708567,
"AUS","HUR","TOT","PC_LF","Q","2004-Q1",5.537434,
"AUS","HUR","TOT","PC_LF","Q","2004-Q2",5.436225,
"AUS","HUR","TOT","PC_LF","Q","2004-Q3",5.478689,
"AUS","HUR","TOT","PC_LF","Q","2004-Q4",5.117726,
"AUS","HUR","TOT","PC_LF","Q","2005-Q1",5.107358,
"AUS","HUR","TOT","PC_LF","Q","2005-Q2",5.057756,
"AUS","HUR","TOT","PC_LF","Q","2005-Q3",4.957692,
"AUS","HUR","TOT","PC_LF","Q","2005-Q4",5.00771,
"AUS","HUR","TOT","PC_LF","Q","2006-Q1",5.045244,
"AUS","HUR","TOT","PC_LF","Q","2006-Q2",4.858089,
"AUS","HUR","TOT","PC_LF","Q","2006-Q3",4.677131,
"AUS","HUR","TOT","PC_LF","Q","2006-Q4",4.515551,
"AUS","HUR","TOT","PC_LF","Q","2007-Q1",4.550601,
"AUS","HUR","TOT","PC_LF","Q","2007-Q2",4.325621,
"AUS","HUR","TOT","PC_LF","Q","2007-Q3",4.253458,
"AUS","HUR","TOT","PC_LF","Q","2007-Q4",4.354021,
"AUS","HUR","TOT","PC_LF","Q","2008-Q1",4.087124,
"AUS","HUR","TOT","PC_LF","Q","2008-Q2",4.25937,
"AUS","HUR","TOT","PC_LF","Q","2008-Q3",4.182842,
"AUS","HUR","TOT","PC_LF","Q","2008-Q4",4.441281,
"AUS","HUR","TOT","PC_LF","Q","2009-Q1",5.309744,
"AUS","HUR","TOT","PC_LF","Q","2009-Q2",5.730017,
"AUS","HUR","TOT","PC_LF","Q","2009-Q3",5.678883,
"AUS","HUR","TOT","PC_LF","Q","2009-Q4",5.557857,
"AUS","HUR","TOT","PC_LF","Q","2010-Q1",5.332538,
"AUS","HUR","TOT","PC_LF","Q","2010-Q2",5.291588,
"AUS","HUR","TOT","PC_LF","Q","2010-Q3",5.120329,
"AUS","HUR","TOT","PC_LF","Q","2010-Q4",5.090347,
"AUS","HUR","TOT","PC_LF","Q","2011-Q1",4.971769,
"AUS","HUR","TOT","PC_LF","Q","2011-Q2",4.963495,
"AUS","HUR","TOT","PC_LF","Q","2011-Q3",5.18888,
"AUS","HUR","TOT","PC_LF","Q","2011-Q4",5.205238,
"AUS","HUR","TOT","PC_LF","Q","2012-Q1",5.146834,
"AUS","HUR","TOT","PC_LF","Q","2012-Q2",5.119361,
"AUS","HUR","TOT","PC_LF","Q","2012-Q3",5.269537,
"AUS","HUR","TOT","PC_LF","Q","2012-Q4",5.36747,
"AUS","HUR","TOT","PC_LF","Q","2013-Q1",5.482393,
"AUS","HUR","TOT","PC_LF","Q","2013-Q2",5.630737,
"AUS","HUR","TOT","PC_LF","Q","2013-Q3",5.717954,
"AUS","HUR","TOT","PC_LF","Q","2013-Q4",5.842188,
"AUS","HUR","TOT","PC_LF","Q","2014-Q1",5.898409,
"AUS","HUR","TOT","PC_LF","Q","2014-Q2",5.926241,
"AUS","HUR","TOT","PC_LF","Q","2014-Q3",6.160758,
"AUS","HUR","TOT","PC_LF","Q","2014-Q4",6.257279,
"AUS","HUR","TOT","PC_LF","Q","2015-Q1",6.183133,
"AUS","HUR","TOT","PC_LF","Q","2015-Q2",6.016308,
"AUS","HUR","TOT","PC_LF","Q","2015-Q3",6.171675,
"AUS","HUR","TOT","PC_LF","Q","2015-Q4",5.840145,
"AUS","HUR","TOT","PC_LF","Q","2016-Q1",5.779163,
"AUS","HUR","TOT","PC_LF","Q","2016-Q2",5.686433,
"AUS","HUR","TOT","PC_LF","Q","2016-Q3",5.646031,
"AUS","HUR","TOT","PC_LF","Q","2016-Q4",5.725965,
"AUS","HUR","TOT","PC_LF","Q","2017-Q1",5.786863,
"AUS","HUR","TOT","PC_LF","Q","2017-Q2",5.587657,
"AUS","HUR","TOT","PC_LF","Q","2017-Q3",5.513017,
"AUS","HUR","TOT","PC_LF","Q","2017-Q4",5.463949,
"AUS","HUR","TOT","PC_LF","Q","2018-Q1",5.521843,
"AUS","HUR","TOT","PC_LF","Q","2018-Q2",5.419763,
"AUS","HUR","TOT","PC_LF","Q","2018-Q3",5.182827,
"AUS","HUR","TOT","PC_LF","Q","2018-Q4",5.036932,
"AUS","HUR","TOT","PC_LF","Q","2019-Q1",5.025599,
