Pays,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Finland,Finland,Finland,Finland,Finland,Finland,Finland,France,France,France,France,France,France,France,Hungary,Hungary,Hungary,Hungary,Hungary,Hungary,Hungary,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Norway,Norway,Norway,Norway,Norway,Norway,Norway,New-Zealand,New-Zealand,New-Zealand,New-Zealand,New-Zealand,New-Zealand,New-Zealand,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Slovak Republic,Slovak Republic,Slovak Republic,Slovak Republic,Slovak Republic,Slovak Republic,Slovak Republic,United-States,United-States,United-States,United-States,United-States,United-States,United-States
Variables,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports
1990-Q1,,37002.6006649759,38974.6605054334,5.05985123381007,,,,206.89,7848.887183,8370.376197,6.23001676666667,108.373,41.272,26.942,,3392.041343,3502.50774946,3.15392325618783,,,,,3675.368419,,,,,,275.46825,13120.8,14202.9666666667,7.63333333333333,140.901,56.143,59.41575,,2679.53508145739,2915.05345975739,8.07938453106795,,,,,,,,,,,35.962,,,,18.443,10.374,5.507,368.386,,,,199.163,86.128,56.786,,,,,,,,,1151.38169346611,1317.77205689782,12.6266422603779,,,,,,,,,,,,,,,,,,109314.8,17843.4836759068,18145.2487525666,2.43333333333333,67730.3,41118.6,13410.2,,62080.0,63413.3333333333,2.13333333333333,,,,,,,,,,,460.822,,,,161.024,99.651,175.108,27.703,1533.0,1651.0,7.2,15.845,5.039,5.833,,,,,,,,,,,,,,,305.893,,,,,65.832,57.775,,,,,,,,113.317452653,,,,60.062470309,29.411896166,42.055887559,,,,,,,,9358.289,119114.333333333,125781.333333333,5.3,5998.058,1695.374,682.3
1990-Q2,,37224.8236728963,39148.9320355285,4.91484253232251,,,,207.173,7888.57619933333,8433.822366,6.4645277,108.965,39.657,26.986,,3391.884709,3506.54772073,3.26996866610814,,,,,3684.221946,,,,,,274.3275,13125.8666666667,14213.4666666667,7.66666666666667,139.352,54.77875,61.57075,,2672.19826224723,2917.54099944723,8.40923014437444,,,,,,,,,,,35.474,,,,18.619,9.783,5.835,369.679,,,,199.633,86.516,55.761,,,,,,,,,1156.55767481164,1325.89417378038,12.7714943105851,,,,,,,,,,,,,,,,,,111753.2,18002.922917158,18546.1358774926,2.3,69240.2,42497.6,13603.4,,62350.0,63696.6666666667,2.13333333333333,,,,,,,,,,,465.8,,,,164.703,88.134,181.215,27.59,1543.0,1672.0,7.7,15.887,5.006,5.974,,,,,,,,,,,,,,,307.471,,,,,64.894,57.66,,,,,,,,113.978585321,,,,60.06922976,29.494133788,43.602856357,,,,,,,,9392.251,118995.333333333,125705.0,5.33333333333333,6016.329,1668.437,690.785
1990-Q3,,37342.5184005597,39190.0269919321,4.71423148484384,,,,205.931,7870.45654733333,8483.39874166667,7.22537423333333,109.106,39.505,28.052,,3415.513529,3536.17787539,3.41228158316816,,,,,3678.805097,,,,,,272.3865,13101.1333333333,14270.5666666667,8.16666666666666,139.433,53.27875,61.21225,,2668.55599941575,2907.29245871575,8.21164236794594,,,,,,,,,,,34.717,,,,18.378,9.438,5.541,371.313,,,,200.218,86.884,56.306,,,,,,,,,1161.72246621576,1334.98504253994,12.9786155502183,,,,,,,,,,,,,,,,,,115366.1,18191.5356691256,18695.7408215266,2.53333333333333,70678.9,45637.0,14198.8,,62626.6666666667,63970.0,2.06666666666667,,,,,,,,,,,461.219,,,,165.587,79.238,183.769,27.594,1536.0,1671.0,8.1,15.917,5.051,6.19,,,,,,,,,,,,,,,304.257,,,,,64.302,57.587,,,,,,,,113.561986474,,,,60.319090564,29.402856276,41.188452073,,,,,,,,9398.499,118712.0,125871.333333333,5.7,6040.163,1659.143,696.014
1990-Q4,,37301.6705582231,39090.993763761,4.57732851805029,,,,207.139,7817.47342333333,8485.04560166667,7.86750946666667,108.421,38.098,28.496,,3450.311949,3565.81457099,3.23916512456037,,,,,3681.601834,,,,,,269.959,12986.4333333333,14293.6,9.13333333333333,138.98875,51.371,59.5875,,2667.71065687962,2913.68237627962,8.44195377651536,,,,,,,,,,,34.514,,,,18.083,9.278,5.712,372.254,,,,201.407,86.907,57.419,,,,,,,,,1166.33816550649,1345.34872678186,13.3058855084788,,,,,,,,,,,,,,,,,,117711.8,18306.8902187381,18752.754836989,2.56666666666667,72274.7,46348.4,14105.5,,62910.0,64253.3333333333,2.06666666666667,,,,,,,,,,,473.569,,,,164.512,80.03,193.805,28.14,1527.0,1677.0,8.9,16.192,5.086,6.233,,,,,,,,,,,,,,,303.21,,,,,63.582,58.048,,,,,,,,113.071186992,,,,60.739437907,29.166747038,41.371460131,,,,,,,,9312.937,118361.0,126069.0,6.13333333333333,5994.212,1628.395,702.143
1991-Q1,557.3467,37183.2927776351,39224.963071505,5.20502795668186,314.05172,121.03089,108.56087,204.453,7735.432101,8475.589675,8.73255903333333,108.655,36.525,29.718,,3466.447966,3587.8544093,3.38381744212655,,,,,3713.554126,,,,,,266.1065,12849.5,14299.2,10.1666666666667,136.22125,51.79275,58.3625,,2653.20438501086,2910.46816191086,8.83925755542688,,,,,,,,,,,33.832,,,,17.87,8.699,5.11,372.104,,,,201.232,86.074,57.623,,,,,,,,,1151.01900841228,1343.05598439174,14.298508640832,,,,,,,,,,,,,,,,,,122126.2,18435.8693824722,18812.3194724091,2.5,73458.2,48094.4,14846.9,,63300.0,64636.6666666667,2.1,,,,,,,,,,,477.587,,,,167.113,88.751,191.488,27.214,1519.0,1684.0,9.8,15.743,4.556,6.421,,,,,,,,,,,,,,,302.325,,,,,60.688,55.892,,,,,,,,113.236240645,,,,61.009592142,29.335748118,42.759403306,,,,,,,,9269.367,117782.333333333,126071.0,6.6,5971.672,1587.408,706.434
1991-Q2,554.39617,36956.7592435971,39064.0399923012,5.39442604789333,317.29763,122.28801,102.20626,204.195,7683.01257033333,8502.14214066666,9.63393596666666,109.105,35.511,31.2,,3460.025975,3583.3672598,3.44204977769664,,,,,3721.743233,,,,,,267.34725,12872.3,14356.6333333333,10.3333333333333,138.513,51.2055,60.9335,,2646.43694087724,2915.61205617724,9.23219928144092,,,,,,,,,,,33.43,,,,17.892,8.333,4.83,373.361,,,,201.42,86.448,59.222,,,,,,,,,1155.01021600046,1352.87868222302,14.6257361301186,,,,,,,,,,,,,,,,,,124155.3,18520.2840256905,19025.9849292575,2.3,75278.3,50174.6,15707.8,,63590.0,64950.0,2.1,,,,,,,,,,,480.085,,,,165.095,82.227,195.463,26.945,1513.0,1690.0,10.5,15.516,4.056,6.56,,,,,,,,,,,,,,,301.943,,,,,59.78,57.74,,,,,,,,112.15416412,,,,61.357522138,29.354072232,40.733640262,,,,,,,,9341.642,117729.333333333,126351.666666667,6.83333333333333,6021.163,1596.569,732.19
1991-Q3,553.26133,36668.9392606396,38971.5117759388,5.90834794538491,311.48704,123.03014,107.21186,205.034,7636.93360766667,8470.18931066667,9.83714746666666,110.397,35.837,31.9,,3465.641784,3594.61701535,3.58801037215482,,,,,3768.861302,,,,,,267.70525,12867.9666666667,14368.1,10.4333333333333,138.454,51.36525,63.2585,,2644.02349210709,2905.76109160709,9.00754023639433,,,,,,,,,,,32.751,,,,17.955,7.856,5.467,374.567,,,,201.062,86.281,60.904,,,,,,,,,1157.44621041541,1359.1666297547,14.8414782207899,,,,,,,,,,,,,,,,,,126818.8,18735.459520216,19208.258164199,2.4,77555.1,50073.0,14950.4,,63846.6666666667,65246.6666666667,2.1,,,,,,,,,,,478.912,,,,168.467,93.321,194.019,27.223,1505.0,1695.0,11.2,15.59,4.146,6.831,,,,,,,,,,,,,,,301.285,,,,,58.687,58.625,,,,,,,,112.154298994,,,,61.395392997,28.768051588,40.952752219,,,,,,,,9388.845,117660.0,126318.0,6.86666666666667,6051.184,1596.484,749.521
1991-Q4,560.44854,36674.0087181282,39039.485160255,6.05918964457802,317.81857,126.3471,107.49585,205.172,7610.032694,8476.32536266667,10.2196774666667,110.577,35.843,32.014,,3493.436376,3624.40324672,3.61347404813529,,,,,3771.675222,,,,,,268.19925,12831.4666666667,14310.2666666667,10.3333333333333,139.263,52.085,63.154,,2644.3351820048,2912.3422804048,9.20245879762279,,,,,,,,,,,32.375,,,,17.597,7.41,5.406,376.16,,,,202.02,85.704,62.201,,,,,,,,,1160.52456517186,1364.89870363054,14.973575541911,,,,,,,,,,,,,,,,,,129993.8,18917.6893240891,19390.9750047878,2.46666666666667,78987.8,52415.5,16573.4,,64006.6666666667,65366.6666666667,2.06666666666667,,,,,,,,,,,482.424,,,,167.789,82.992,196.891,27.247,1499.0,1686.0,11.0,15.523,4.176,7.022,,,,,,,,,,,,,,,301.811,,,,,58.902,58.445,,,,,,,,112.55237384,,,,61.803692028,27.800250609,41.076101941,,,,,,,,9421.565,117678.666666667,126669.0,7.1,6048.156,1597.712,766.393
1992-Q1,568.90282,36545.7426073863,39058.0721248055,6.43229268815766,321.20486,130.08813,108.58731,206.707,7637.89822166667,8526.02291866666,10.4166079666667,111.731,35.865,31.783,,3527.658838,3651.53651074,3.39248073723616,,,,,3755.806558,,,,,,268.39475,12768.8,14282.4333333333,10.6,139.307,51.72325,63.684,,2655.46554226528,2912.22663226528,8.81665894938532,,,,,,,,,,,32.471,,,,17.285,7.281,5.625,380.013,,,,202.389,86.314,63.679,,,,,,,,,1160.60603946621,1363.51008467326,14.881008031244,,,,,,,,,,,,,,,,,,132308.2,18988.6601416955,19416.1982351274,2.4,79845.0,53704.5,16738.2,,64343.3333333333,65710.0,2.06666666666667,,,,,,,,,,,492.683,,,,169.041,73.364,205.227,27.379,1508.0,1694.0,11.0,15.628,4.34,6.713,,,,,,,,,,,,,,,301.831,,,,,59.061,59.091,,,,,,,,113.402165949,,,,61.756651664,27.185620116,43.192663756,,,,,,,,9534.346,117958.333333333,127357.333333333,7.36666666666667,6161.398,1619.962,780.24
