Pays,Variables,Variables,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,Pays
DEU,PIB,PIB,,,,,557.3467,554.39617,553.2613299999999,560.4485400000001,568.90282,564.5149700000001,563.5315,561.7915,557.66818,557.51685,560.84578,560.31617,568.1653,569.52707,573.6124,580.27002,578.3029799999999,582.6153099999999,583.75013,583.82579,579.0595400000001,586.92762,588.9703,593.35825,590.19942,597.76509,599.80785,604.27161,609.8319700000001,607.2598,610.2859,607.5624,614.59838,614.5984,621.7097,626.5514099999999,635.49778,640.71796,640.56668,638.5239799999999,651.38525,651.08259,649.94781,649.26693,645.84366,648.56716,651.8958200000001,650.9880400000001,641.2475599999999,642.00406,646.9216299999999,648.6616799999999,647.52688,650.85564,649.56955,648.88865,648.88864,652.36872,657.8915099999999,661.0690099999999,667.424,678.92346,684.2193,694.50827,695.01917,700.84443,704.4000599999999,709.09054,713.57324,711.75753,707.29394,695.94572,663.41434,664.4735,668.1048900000001,673.02242,678.62089,693.75175,699.5015099999999,705.02431,718.86905,719.4743,725.75366,723.48397,725.05381,726.5669,728.53389,725.3564299999999,722.04655,729.76328,733.69733,736.04264,743.0785400000001,743.15415,746.7855599999999,752.98929,749.1878,754.5591,757.81215,761.36782,767.96882,770.9950200000001,772.88639,775.83689,785.3693599999999,790.51387,797.47409,804.1316400000001,802.4673,806.25003,803.60208,806.32566,811.26217,807.17671,809.6734,809.52207,DEU
DEU,Emplois,Emplois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.990103621779994,51.773086576440704,51.839426049736005,51.970809680832005,52.4844874116006,52.813946676741196,53.0919861211305,53.2650105627425,53.5839276534509,54.0081567537884,54.2014285684307,54.3174505617025,54.559240352036106,54.456199124346,55.095431215476296,55.0071357906501,54.75854053213221,54.7099469097342,54.4951248111845,55.2123989039334,54.921837557631505,55.154863788205496,55.3470053693438,55.513145779902295,56.051332455058606,56.630687982062994,56.74793017057421,56.9311241586652,56.657910087355795,56.813749669995005,56.9396841266626,56.9321953190977,57.060207971954604,57.2673203746078,57.210901968172706,57.2454014520731,57.2667994071174,57.4122954443497,57.4802000580004,57.4367958786858,57.2111563923864,57.2713517002651,57.4028764139847,57.660840877476396,58.300197453189,58.330348737919905,58.5902538596904,58.7511296264306,58.6569402248352,58.847564249291,59.058278160937796,59.1058730858648,59.07109907372539,59.0649315425208,59.29882642116079,59.4033719365316,59.7012221783031,59.8916452642291,59.9912026455126,60.2988060331679,DEU
DEU,Actifs,Actifs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.307184439133394,58.3660769909523,58.4698401288992,58.522739207671,58.841264546378405,58.913244954094296,58.9683742268338,59.105481787516005,58.9412754312079,59.1697982793631,59.255204969313205,59.23053531942921,59.1793659441376,59.0434476777319,59.423299773988106,59.301977251701096,59.283927479163395,59.337526931593,59.224160706533205,59.7223933852431,59.3554707673813,59.34090001311829,59.3382723496924,59.4446497083803,59.7482439939861,60.1733770590462,60.2132318934107,60.22580945203529,59.92894315061051,60.0418800804794,60.1659993620647,60.1316972185661,60.281444361137,60.4513872633742,60.3383535201217,60.3401399143265,60.3431554899288,60.412819372444105,60.4822111466397,60.3928657419389,60.0481323820488,60.099585018289204,60.1087735430831,60.4189191649924,60.925333625592394,60.8905540199589,61.0909110586007,61.1234597605188,61.0360837116426,61.1499782106638,61.3234518441505,61.329426697372206,61.1836854336491,61.17949372553121,61.350420542045605,61.4185160455482,61.652633503878405,61.7954467790983,61.926333810699994,62.2826534564434,DEU
DEU,Chomage,Chomage,5.05985123381007,4.91484253232251,4.71423148484384,4.577328518050289,5.20502795668186,5.3944260478933295,5.90834794538491,6.059189644578019,6.43229268815766,6.54903856559371,6.76038394473812,7.07352660128464,7.373628959733981,7.781200363450299,8.16891482273833,8.520472337807501,8.59621589740809,8.6572464347625,8.46660182768792,8.24586808008004,8.08325823592824,8.124752959520741,8.23630429973539,8.389826609872731,8.71695834381552,8.78083572935459,9.0193551677497,9.30178221653342,9.67741750337834,9.886188610804052,10.041910659921301,10.0450035151831,9.7493933041744,9.41774698081851,9.10788273808886,8.87921373571753,8.65037910093826,8.57180761054429,8.417815660986559,8.21808818722824,8.039719329900889,7.840176585746829,7.7174286968076204,7.60112212588784,7.68081477448145,7.759281490105269,7.92563925677853,8.15614178596228,8.292400832953401,8.53354674344854,8.83683890603115,9.15105122597664,9.52878905576483,9.724535895161221,9.777946390286301,9.74218062942334,9.719706833820382,9.688970063528089,9.92554752752272,10.063803692167301,10.8341379850843,11.2959286531004,11.339887477965,11.195527782097,10.8032639743277,10.353017020376,9.96532155202146,9.881437471011571,9.089297336311839,8.7234394499786,8.528831186221781,8.2948511797682,7.806987314569531,7.76927624285052,7.28311718630988,7.242324219346019,7.6334128649315796,7.79874096740458,7.984977480359699,7.55159702361186,7.46962858255405,7.05421762054068,6.72629455206787,6.61372208897668,6.18748149200768,5.887469259880331,5.75505020054528,5.470553776440389,5.458185796859599,5.37646457132503,5.36235626368794,5.32082420331309,5.34366159159114,5.26715272040669,5.18319007645122,5.1288221516347905,5.09810277211114,4.96670070899394,4.9634612090502195,4.8947335532717995,4.724503289482031,4.70591155856303,4.5016675097503205,4.56492490371144,4.30877603155332,4.20460172065406,4.09333754494444,3.88121049329167,3.8979294576750396,3.7651917935945693,3.6938130765527,3.62559008170658,3.4528589524321402,3.4563250760083104,3.34405877377603,3.28100422928187,3.1651710797600603,3.08081195961706,3.12489218416,3.1852326662075496,DEU
DEU,Conso,Conso,,,,,314.05172000000005,317.29762999999997,311.48704,317.81857,321.20486,320.92432,321.32507000000004,330.78289,321.55559,321.91626,324.72146000000004,328.32811,327.36635,325.36264,329.04946,331.81459,330.52229,335.05055,334.6899,335.4112,337.43494,339.27842000000004,339.51886,340.12002,341.10181,342.34407999999996,340.58083999999997,344.14735,344.79866,344.03722,347.44353,350.16857999999996,353.86537999999996,355.26802999999995,354.38635,357.19165,359.70623,363.43315,362.31108,360.26727999999997,366.8495,365.72738,365.8877,365.64725,360.93854,358.57421,361.21905,363.70358999999996,361.74003,361.90033,363.34295,363.70361,363.51329,363.43314,362.51142000000004,365.3567,366.82947,366.62907,366.54894,367.91141,369.57444,371.17745,371.41792999999996,377.50937000000005,367.76116,372.28956,373.17116,373.21126,371.52812,372.28956,372.57007999999996,372.77044,375.82621,374.14302000000004,370.41602,368.97331,370.77665,374.58381,375.42537999999996,377.34901,379.55296,378.91175,383.1998,384.36197999999996,385.9048,387.42762,387.94854,388.34927000000005,387.60787999999997,389.61165,390.65359,389.77193,391.07442000000003,391.43504,394.64094,397.04528999999997,397.00541,399.69032999999996,402.5355,403.77781,407.48467999999997,408.36636,410.41017,412.57423,413.6061,415.40942,418.13446,421.26027999999997,422.17195999999996,422.85321,422.65285,425.81867,429.63579000000004,429.51557,430.67772,430.91815,DEU
DEU,Formation,Formation,,,,,121.03088999999999,122.28801000000001,123.03013999999999,126.3471,130.08813,128.96733999999998,125.68068000000001,125.40805,122.46973999999999,121.47012,122.22741,120.34931999999999,124.12065,125.51408,126.13506000000001,128.7553,125.60493999999998,126.86206000000001,126.7106,125.72612,118.97103,128.27063,128.07373,128.30092,123.94261000000002,126.85071,127.01732,128.25932,131.67845,130.16387,131.57243,130.54251000000002,134.57506,135.48383,137.6952,136.99847,139.82695,139.4786,140.76599,139.418,140.3722,137.29758999999999,135.11657,133.78373,130.42134,128.43724,127.61936000000001,126.84691000000001,126.57048999999999,125.90409,126.28272,126.01011000000001,124.15473,124.92718,124.63941000000001,123.76091000000001,122.33344,124.51444,126.43796,129.86094,128.73657,136.96057,137.21804,141.27703,141.62931,139.66036,140.38735,143.56798999999998,145.12802,142.32602,142.47748,140.59938,129.41793,129.09986999999998,129.66025,128.63036,129.13756,136.99848,138.67973999999998,137.42258999999999,144.35558,145.09771999999998,147.20301,146.65776,146.89629,146.56309,146.3359,145.79066,140.06562,144.97275,145.3211,148.27448,150.80772,148.3238,148.36923000000002,149.70207,149.73237,149.56575,150.70171000000002,154.13983000000002,157.29397,155.18864,156.67299,156.90017,158.83505,161.30383,162.47006000000002,163.49999,165.19634,166.66548999999998,167.83172,169.84613000000002,172.33383999999998,171.69771,171.59169,171.18274,DEU
DEU,Exports,Exports,,,,,108.56087,102.20626,107.21186000000002,107.49585,108.58731,103.47565,106.45743999999999,101.66526999999999,99.56196,97.46778,97.96472,99.91691,102.91626,107.85083999999999,107.49583,108.24134,112.23482,113.26418000000001,114.18705,116.24576,117.47035,118.03835,121.12687,126.91342,128.63506999999998,132.68155,139.81611,142.22978999999998,144.82157,147.27078,145.88645,143.93419,144.26246,151.92995,155.44421,158.99398,166.30649,172.41208999999998,175.53588,184.80076,184.41029,185.15575,184.97826,186.93063,186.44221000000002,192.1931,195.56554,198.68946,193.00943,192.29945,198.29882,203.12672,211.74348999999998,220.75987999999998,217.21012000000002,218.80752999999999,223.71473999999998,227.44213,236.92036000000002,241.21573999999998,248.85537999999997,256.20389,264.0139,279.49192999999997,277.69813,284.47816,290.54827,292.78462,296.28982,295.04742000000005,292.88216,275.9503,244.31227,242.11125,250.41831000000002,257.69584,265.47861,284.22078999999997,288.87084,295.54421,302.93695,307.16116,310.67543,310.03647,315.8226,318.59141,322.60265,317.66846,316.8433,318.47615,324.29762,330.22555,330.38532000000004,333.26069,340.04092,346.53716000000003,349.0129,355.82842999999997,356.2189,354.9765,357.89608,362.61737999999997,362.01389,365.98975,372.72534,379.32788999999997,383.90707000000003,390.86463,390.79361,392.88799,389.30272,391.25509,397.3962,391.1486,396.0473,394.94687000000005,DEU
AUS,PIB,PIB,206.89,207.173,205.93099999999998,207.139,204.453,204.195,205.03400000000002,205.172,206.707,208.19299999999998,210.305,214.62,216.105,217.327,217.554,221.59400000000002,225.301,228.104,229.83900000000003,232.09,232.016,232.863,238.18599999999998,238.24599999999998,242.299,244.023,245.96099999999998,248.197,249.71200000000002,257.072,257.409,261.07,262.85900000000004,265.414,270.555,274.719,276.845,277.742,281.01099999999997,285.796,286.832,289.48,290.041,288.954,291.89,294.306,297.867,301.437,303.715,308.796,309.875,312.152,312.462,313.509,318.795,324.094,326.76599999999996,328.957,331.44599999999997,334.004,336.63199999999995,338.139,341.767,344.616,345.344,345.94800000000004,351.059,355.635,360.902,363.04,367.05400000000003,368.879,373.07300000000004,373.962,376.755,375.06199999999995,378.86,381.015,382.135,384.971,386.903,388.93800000000005,391.585,395.603,394.55,399.207,404.55199999999996,409.211,412.99800000000005,416.12699999999995,418.589,420.81800000000004,422.05800000000005,423.89099999999996,427.314,430.85400000000004,433.773,436.108,438.224,439.844,443.548,444.32099999999997,449.034,451.62300000000005,455.475,458.735,459.26199999999994,463.86699999999996,465.152,468.338,472.925,475.223,479.522,483.707,485.48900000000003,486.394,488.81199999999995,491.985,494.974,496.921,AUS
AUS,Emplois,Emplois,59.599611033333304,59.6628253,59.3097831,58.6863465333333,57.863161399999996,57.2758642333333,56.7353096333333,56.3689818,56.373507700000005,56.1257576666667,56.1719595,55.684426066666695,55.633409766666695,55.4682640666667,55.565899699999996,56.0165133333333,56.2453309666667,56.5212768333333,57.127496166666695,57.3164514,57.712670566666695,58.1700781,58.3032247666667,58.3834776666667,58.2956735,58.2271808333333,58.0420398333333,57.9004796,57.87538789999999,57.6971796,57.7109477666667,57.991590233333305,57.9577059333333,58.0887313,58.2451886666667,58.3130656333333,58.2398986666667,58.2694645333333,58.477651233333305,58.7534763333333,58.704979666666695,59.1544437333333,59.6550951,59.10548829999999,58.9712630333333,59.0882271333333,59.0483367333333,59.0287958666667,59.1263923333333,59.089767066666695,59.3421070666667,59.6296209333333,60.0152583,59.685672100000005,59.64559770000001,59.8052761333333,59.793475766666695,59.9018228,59.928671400000006,60.4604644,60.8487776666667,61.1417665333333,61.3254570666667,61.2135338333333,61.2335437666667,61.494927399999995,61.9346864,61.931247366666696,62.0140718666667,62.2462715666667,62.4596712333333,62.5556269,62.729149866666695,62.7433158333333,62.7831058333333,62.4978318333333,62.1400892333333,61.743833133333304,61.6015642666667,61.6461748666667,61.789788,61.7136590333333,62.058906266666696,62.3398757,62.365971833333305,62.065555,62.0478436666667,61.8905549333333,61.904069333333304,61.8287298666667,61.6911839333333,61.564887,61.630940733333304,61.4197476333333,61.1580813666667,60.86116429999999,60.827694166666696,60.807084733333305,60.6934141333333,60.5659654666667,60.8195743333333,60.918554099999994,60.9848235,61.370099399999994,61.2978906333333,61.1868705,61.0427277,60.9861986333333,61.016882666666696,61.359737066666696,61.6569054333333,61.9448657666667,62.060398600000006,62.0121337333333,62.1217689666667,62.3232935666667,62.3697321,62.5071439,62.6226848333333,62.5343202666667,AUS
AUS,Actifs,Actifs,63.5594549666667,63.786529833333304,63.92868489999999,63.6977438333333,63.3995391333333,63.3824552,62.9255337,62.78567579999999,62.9284980666667,62.804572166666695,62.9896266333333,62.6712115,62.4408239666667,62.2184495333333,62.3549488,62.860575,62.8023138666667,62.7199527333333,63.1073221666667,63.0244716,63.2578343333333,63.4802976333333,63.6282772333333,63.7306777666667,63.6420900666667,63.578027600000006,63.5177642333333,63.362562566666696,63.3351627333333,63.044962399999996,62.9852205,63.0183300666667,62.8883566,62.957718333333304,63.1642301,62.9559919,62.6789598333333,62.5786234333333,62.7943840666667,62.9279092333333,62.887302299999995,63.1331455333333,63.4557841,62.993026199999996,62.981253599999995,63.4467668666667,63.4023625,63.457906099999995,63.3228548333333,63.133530933333304,63.3185985666667,63.5422236666667,63.8839725666667,63.5302699,63.3896886333333,63.426022133333305,63.298593700000005,63.3454442,63.4022363,63.7215683333333,64.1238667333333,64.3988951,64.5243515666667,64.44055053333331,64.4870372333333,64.6349157333333,64.9735829,64.86011239999999,64.9706457333334,65.0605339666667,65.23438583333339,65.4033407,65.4022594,65.5346777333333,65.5238628666667,65.4025221666666,65.6248031666667,65.49671853333331,65.31046579999999,65.2739777,65.2703142333333,65.1618336666667,65.4079956,65.6834413666666,65.6289022,65.3070580333333,65.4436697666666,65.2890076333333,65.2630067,65.1648388666667,65.12309640000001,65.056852,65.2056746666667,65.0844742666667,64.8671646333333,64.6373591,64.6404338333334,64.63766446666669,64.6780858333333,64.6087055,64.8279136,64.81820450000001,64.9962278666667,65.1765107666667,65.05792190000001,64.8759951,64.6954998666667,64.6904693666667,64.76477156666661,64.9912265,65.2543498666666,65.5253608666667,65.6875609333333,65.56562353333331,65.51750890000001,65.6289972666667,65.6700769,65.9565721333333,66.0785288666667,65.9388922666666,AUS
