,Germany,Australia,Austria,Belgium,Canada,Denmark,Spain,Finland,France,Hungary,Ireland,Iceland,Italy,Korea,Japan,Luxembourg,Norway,New-Zealand,Netherlands,Portugal,United Kingdom,Sweden,Switzerland,Slovak Republic,United-States
0,[5.2259653564933406e-11],[4.7010930275517624e-11],[4.789398728615654e-10],[0.09451318859862408],[0.31219722138688916],[1.3910961437306933e-10],[7.134793822896133e-11],[7.337732040941634e-10],[0.05031297306582929],[1.6861646303328282e-10],[1.9121086180696861e-10],[6.746230700081794e-10],[7.498276271431461e-13],[2.9995200715745973e-10],[1.4030041006129591e-11],[2.745559333355015e-09],[5.842445009893471e-10],[0.3255657262126386],[1.605956170889522e-10],[7.008327931063666e-11],[0.055890667596369986],[0.08998674676893938],[6.396357204630431e-10],[2.914611203919822e-10],[2.353265367729462e-09]
1,[0.1235971192320631],[8.410963160824772e-11],[7.526481841381416e-10],[1.5990564974260767e-09],[1.2870579766372844e-10],[5.13569851733513e-10],[2.6336727148426582e-11],[5.384767900998008e-10],[8.303879986423387e-11],[0.05586204566447794],[8.933129787634407e-12],[3.334753079937318e-09],[8.832969395422134e-12],[1.3336284287282363e-10],[1.1412799753362117e-09],[4.895033698290944e-10],[4.0284670826749475e-10],[1.6144295514375613e-10],[2.8972178597760785e-10],[3.464075220820491e-10],[2.062395953109665e-09],[5.2600440295393134e-08],[7.731147006007527e-10],[2.972113008239943e-10],[1.7122761538116096e-09]
2,[0.07071723705282261],[1.0903060581691058e-09],[2.2661974565853117e-10],[1.4287820105298836e-09],[1.1758217234470727e-09],[3.1545254232427434e-09],[2.637079249433149e-10],[7.728328056299684e-10],[8.09103898827222e-11],[1.0889111541837419e-09],[2.6200512695997628e-11],[3.1380146327122096e-10],[2.7827528527648664e-11],[4.2272987104460586e-11],[5.159244674720189e-11],[4.3110492300802186e-10],[8.373845470917619e-11],[1.7322487233962634e-10],[3.734761681803142e-10],[2.7000381299751427e-10],[5.416628734546424e-10],[2.714305936203134e-09],[6.3981822293839e-10],[6.23492478695262e-10],[8.955522692972476e-10]
3,[3.680728535172566e-11],[2.940169805690819e-11],[1.0161070664668561e-09],[6.012156864870914e-10],[2.7693329531581507e-10],[2.7844642692291694e-10],[2.572364401648981e-10],[9.099515234918488e-10],[0.05238634533214941],[3.093890750869325e-10],[6.66026956115124e-11],[4.4954175135642925e-10],[7.772531256501107e-12],[7.567198356374121e-11],[2.4058720722687248e-11],[5.206636848005112e-10],[1.636829488156481e-10],[2.3150416709239323e-09],[3.957705785757439e-10],[1.370019900143789e-10],[2.1789688948123286e-09],[1.5952413985212643e-09],[7.461771148036871e-10],[2.952284185857788e-10],[0.17435504029298687]
4,[5.1756220411789935e-11],[7.875281508626187e-11],[5.673470106877037e-10],[0.026406632384137714],[1.7246404224722602e-10],[2.5529202783578504e-09],[5.084635846462874e-11],[6.500661547735454e-10],[7.848746411039918e-11],[0.3575617618794335],[6.664078101620887e-12],[1.2567400498146683e-09],[1.7277860346754765e-11],[6.7206145171999e-11],[0.9999999972410316],[2.309242084261738e-10],[2.555947774296546e-10],[2.2717039117456316e-10],[0.07429264084571992],[0.05950444960456361],[1.931305421731491e-09],[1.5612913343425043e-09],[3.2062953816178736e-10],[2.6163613565825424e-10],[3.007888030541672e-09]
5,[1.7660810093142866e-11],[6.596295815025822e-11],[4.3355563499266735e-10],[0.2058075751325275],[0.010132574601034916],[5.360147102830698e-10],[5.848822180533796e-10],[1.0811654374245875e-09],[1.9916193660502512e-10],[0.060260490358090765],[6.124500358185938e-11],[3.69591399710478e-10],[1.6718178435182418e-11],[4.6144579868439136e-11],[1.725576928484427e-11],[1.25050261155944e-10],[5.537953718493278e-11],[6.502451827311879e-11],[0.0200159702716704],[0.3610840571259974],[0.08685799666377025],[0.09902650093159451],[5.462718886580206e-11],[0.39516636596833704],[7.434396565824351e-10]
6,[1.863334911325172e-10],[6.384831388055542e-11],[0.17610544552186239],[0.27460654171819177],[0.07803509829378902],[1.1173118936266145e-09],[9.68119079477001e-10],[3.774363074478958e-10],[0.15621596780148728],[8.479848283901001e-10],[2.3788784311906217e-11],[2.335508273800519e-10],[2.9069676029851397e-09],[2.3164573596638426e-11],[4.161092050505141e-11],[1.3240023783840455e-10],[5.439181028322347e-11],[1.202553655253348e-10],[1.9444597628842525e-10],[9.1444791536238e-10],[1.2659202447347956e-09],[6.752770741996081e-09],[1.9909493608656328e-10],[1.6166222567478646e-09],[1.6136963792307753e-09]
7,[1.0166825587043226e-10],[4.040573041608002e-11],[0.012401174532656939],[4.899740152482787e-10],[2.703192753923902e-10],[0.1216322823837018],[1.2641063201072717e-10],[0.2893088024700446],[4.622945209010846e-11],[1.4229396528064869e-09],[8.470512654577645e-12],[3.622143864913661e-10],[0.38230335171705954],[3.6993020003535504e-11],[2.426771468313147e-10],[1.8606087381832327e-10],[9.366574804447914e-11],[1.5337009415200534e-10],[1.7049956987372346e-10],[2.832085168283695e-10],[1.0056981571424455e-08],[0.39627721541202665],[0.08780106616532853],[5.932779029801644e-10],[1.1208063647288337e-09]
8,[1.2925961495573245e-11],[8.015279210660466e-11],[0.038533016841289534],[1.496564969326336e-10],[7.128640757093039e-11],[2.6964229820484045e-10],[1.048078266468629e-10],[7.715143433602428e-10],[2.725087068291226e-11],[4.146021631288218e-09],[2.7217036131633363e-11],[9.711956379896665e-10],[1.7399095959537754e-11],[6.476245702159684e-11],[4.9900626087931893e-11],[2.6154652735012866e-10],[6.074201959803515e-11],[9.935050728005987e-11],[2.0390827250836686e-10],[5.013518636135461e-10],[0.1602569065287593],[0.24312457857471673],[1.2521129578436492e-10],[2.3566455963965175e-09],[2.2372665219212236e-09]
9,[3.3207090716492296e-12],[2.1527524713009083e-09],[5.274264903033055e-11],[6.990599416296358e-11],[1.975488416230209e-10],[0.02011200701252137],[4.9178811987747475e-12],[0.06315285057785325],[2.1000291333404088e-11],[3.1026451485385737e-10],[1.3597892211084056e-10],[0.060436701881281085],[0.0],[0.8807254204772056],[2.623673775386611e-11],[2.960760367586062e-09],[0.11444100094912982],[4.4100418940658526e-10],[6.423748443462082e-10],[2.225874081066444e-10],[0.007804774729635604],[1.553828671294024e-09],[1.1706326671009973e-10],[2.5649950379998433e-10],[0.10989707597944026]
