,Germany,Australia,Austria,Belgium,Canada,Denmark,Spain,Finland,France,Hungary,Ireland,Iceland,Italy,Korea,Japan,Luxembourg,Norway,New-Zealand,Netherlands,Portugal,United Kingdom,Sweden,Switzerland,Slovak Republic,United-States
2003-Q2,9.733334,6.051594000000001,4.8,8.1,7.6666669999999995,5.533333,11.4,9.3,8.433333,5.766667,4.8,3.433333,8.466666,3.5333330000000003,5.433333,3.6,4.233333,4.8,4.7,7.466667,4.939741000000001,6.3333330000000005,4.1155550000000005,17.33333,6.133333
2004-Q2,10.3,5.436225,5.366667,7.766667,7.1666669999999995,5.466667,11.2,9.2,8.8,5.9,4.6666669999999995,3.5,8.0,3.6,4.733333,5.0,4.233333,4.2,5.766667,7.6666669999999995,4.805184,7.366667,4.316408,18.8,5.6
2005-Q2,11.2,5.0577559999999995,5.733333,8.5,6.8333330000000005,5.066667,9.4,8.433333,8.866667,7.2,4.866667,2.9,7.766667,3.733333,4.433333,4.6666669999999995,4.6,3.8,5.966667,8.7,4.753558,7.9,4.436162,16.53333,5.1
2006-Q2,10.2,4.858089,5.233333,8.666667,6.1666669999999995,4.1,8.5,7.766667,8.933333,7.3333330000000005,4.733333,3.3,6.9,3.4666669999999997,4.133333,4.533333,3.6333330000000004,3.7,5.133333,8.7,5.472024,7.3333330000000005,3.9998099999999996,13.7,4.633333
2007-Q2,8.6,4.325621,5.1,8.0,6.1,3.6,7.966667,6.6666669999999995,8.1,7.1666669999999995,5.0,2.7,5.933333,3.266667,3.766667,4.133333,2.5,3.6,4.1666669999999995,9.3,5.350474,6.066667,3.650983,11.33333,4.5
2008-Q2,7.5,4.25937,3.8,6.633333,6.1,3.5,10.4,6.1666669999999995,7.3,7.6666669999999995,5.933333,2.733333,6.8,3.1333330000000004,3.9666669999999997,4.8,2.566667,3.8,3.7,8.633333,5.3504879999999995,6.0,3.3505510000000003,10.1,5.3333330000000005
2009-Q2,7.766667,5.730017,5.366667,7.8333330000000005,8.566667,6.233333,17.866670000000003,8.4,9.066667,9.366667,12.6,7.633333,7.466667,3.8,5.1,5.266667,3.266667,5.8,4.2,10.53333,7.763806,8.366667,4.115744,11.4,9.3
2010-Q1,7.3333330000000005,5.332538,5.066667,8.566667,8.3,7.6,19.33333,8.666667,9.3,11.26667,13.8,8.333333,8.4,4.1,5.033333,4.633333,3.766667,5.9,5.1,11.43333,8.009586,8.933333,5.052178,14.933329999999998,9.833333
2010-Q2,7.033333,5.291588,4.9,8.433333,8.1,7.766667,19.96667,8.433333,9.266666,10.93333,14.366670000000001,8.4,8.5,3.433333,5.133333,4.433333,3.8666669999999996,6.6,5.0,12.13333,7.852352000000001,8.766666,4.963393,14.7,9.633333
2010-Q3,6.766667,5.120329,4.8,8.4,8.1,7.733333,20.0,8.266666,9.233334,10.53333,14.566670000000002,8.3,8.233334,3.7,5.066667,4.433333,3.7,6.1,5.0,12.36667,7.754646000000001,8.5,4.767565,14.366670000000001,9.466666
2010-Q4,6.6,5.090347,4.5,7.8333330000000005,7.8,7.8333330000000005,20.2,8.066667,9.2,10.46667,15.6,8.3,8.233334,3.5333330000000003,5.0,4.733333,3.6,6.2,4.933333,12.16667,7.863269,8.1,4.430132,13.933329999999998,9.5
2011-Q1,6.233333,4.971769,4.866667,7.1,7.733333,7.8333330000000005,20.5,8.133333,9.1,11.23333,15.133329999999999,8.166667,7.966667,3.7,4.733333,4.7,3.3,6.0,4.866667,12.26667,7.778467,7.9,4.393065,13.766670000000001,9.033334
2011-Q2,5.9,4.963495,4.533333,6.9,7.633333,7.533333,20.76667,7.766667,9.133333,10.66667,15.066670000000002,7.9,8.033334,3.3666669999999996,4.6666669999999995,4.766667,3.4,6.1,4.733333,12.43333,7.940033000000001,7.8,4.184614,13.6,9.066667
2011-Q3,5.733333,5.18888,4.133333,7.5,7.3333330000000005,7.733333,21.73333,7.7,9.2,10.36667,15.566670000000002,7.466667,8.5,3.266667,4.466667,5.0,3.433333,6.0,4.966667,12.86667,8.332914,7.633333,4.455062,13.53333,9.0
2011-Q4,5.566667,5.205238,4.8,7.066667,7.5,7.9,22.633329999999997,7.566667,9.366667,10.36667,15.833329999999998,7.233333,9.166667,3.233333,4.466667,4.8333330000000005,3.5,6.1,5.3333330000000005,13.96667,8.394072999999999,7.766667,4.576288,13.8,8.633333
2012-Q1,5.433333,5.146833999999999,4.533333,7.1666669999999995,7.5,7.8,23.53333,7.5,9.5,11.4,15.933329999999998,7.1,9.933333,3.333333,4.5,5.0,3.266667,6.4,5.5,14.633329999999999,8.210361,7.733333,4.240975,13.866670000000001,8.266666
2012-Q2,5.4,5.1193610000000005,4.933333,7.266667,7.3,8.1,24.6,7.566667,9.666667,10.8,15.53333,6.8333330000000005,10.56667,3.233333,4.4,5.066667,3.166667,6.4,5.7,15.433329999999998,7.991642999999999,7.866667,4.3322449999999995,13.9,8.2
2012-Q3,5.3333330000000005,5.269537000000001,5.2,7.5,7.3,7.8,25.3,8.033334,9.8,10.13333,15.53333,6.5,10.8,3.1333330000000004,4.233333,5.033333,3.233333,6.7,5.9,16.066670000000002,7.859896000000001,8.1,4.499242,13.933329999999998,8.033334
2012-Q4,5.3,5.36747,5.0,8.266666,7.4,7.5,25.83333,7.7,10.1,10.3,15.0,6.233333,11.36667,3.1333330000000004,4.1666669999999995,5.3,3.5,6.3,6.233333,17.0,7.813578,8.166667,4.863580000000001,14.2,7.8
2013-Q1,5.4,5.482393,5.3,8.4,7.1666669999999995,7.6,26.23333,8.233334,10.33333,11.1,14.566670000000002,6.2,11.76667,3.1333330000000004,4.2,5.6,3.733333,5.8,6.766667,17.3,7.844703,8.066667,4.803452,14.366670000000001,7.733333
2013-Q2,5.266667,5.630737,5.1666669999999995,8.4,7.133333,7.4,26.23333,7.9,10.4,9.966666,14.366670000000001,6.1,12.13333,3.066667,4.033333,5.8,3.7,6.0,7.133333,16.866670000000003,7.748236,8.033334,4.830159,14.4,7.533333
2013-Q3,5.2,5.717954,5.4,8.466666,7.1,7.266667,26.2,8.1,10.26667,9.533334,13.333329999999998,5.9,12.26667,3.1333330000000004,3.933333,5.933333,3.766667,5.8,7.533333,16.2,7.618197,8.0,4.727101,14.2,7.233333
2013-Q4,5.1,5.842188,5.5,8.533334,7.133333,7.233333,25.76667,8.433333,10.2,8.833333,12.86667,5.733333,12.33333,3.1333330000000004,3.8666669999999996,6.0,3.833333,5.7,7.633333,15.333329999999998,7.2206,7.966667,4.6283080000000005,14.066670000000002,6.933333
2014-Q1,5.1,5.898409,5.6,8.666667,7.066667,7.0,25.26667,8.466666,10.2,7.9,12.83333,5.7,12.73333,3.433333,3.666667,5.966667,3.5333330000000003,5.6,7.8333330000000005,14.8,6.754525,8.066667,4.977424,13.8,6.6666669999999995
2014-Q2,5.0,5.926241,5.5,8.5,7.1,6.8333330000000005,24.6,8.566667,10.2,7.966667,12.2,5.566667,12.43333,3.5333330000000003,3.6333330000000004,5.966667,3.4,5.3,7.566667,14.46667,6.2892529999999995,7.933333,4.9839459999999995,13.46667,6.2
2014-Q3,5.0,6.160758,5.6666669999999995,8.533334,7.0,6.9,24.2,8.566667,10.3,7.2,11.7,5.366667,12.56667,3.5,3.566667,6.033333,3.733333,5.3,7.2,13.733329999999999,5.9805839999999995,7.866667,4.880792,12.96667,6.066667
2014-Q4,4.933333,6.2572790000000005,5.6666669999999995,8.5,6.7,6.733333,23.76667,9.133333,10.43333,6.933333,10.86667,5.033333,12.73333,3.6,3.4666669999999997,6.1666669999999995,3.8666669999999996,5.5,7.133333,13.53333,5.698751000000001,7.8,4.46876,12.5,5.7
2015-Q1,4.766667,6.183133,5.566667,8.7,6.8,6.466667,23.133329999999997,9.133333,10.4,7.466667,10.7,4.866667,12.36667,3.566667,3.5,6.366667,4.266667,5.5,7.1,13.366670000000001,5.536308999999999,7.733333,4.415166,12.2,5.533333
2015-Q2,4.7,6.016308,5.9,8.566667,6.9,6.4,22.5,9.466666,10.5,6.8,10.1,4.6,12.2,3.7,3.3666669999999996,6.5,4.5,5.5,6.933333,12.53333,5.60876,7.633333,4.7356,11.6,5.433333
2015-Q3,4.566667,6.171675,5.6,8.0,7.0,6.2,21.66667,9.366667,10.33333,6.233333,9.566667,4.3,11.53333,3.6,3.3666669999999996,6.5,4.566667,5.7,6.8,12.4,5.3193220000000005,7.1,4.97486,11.3,5.1
2015-Q4,4.5,5.840145,5.9,8.666667,7.066667,6.066667,20.96667,9.466666,10.23333,6.033333,9.433333,3.9,11.53333,3.5333330000000003,3.266667,6.5,4.733333,5.0,6.733333,12.23333,5.078842,7.1,5.074066,10.83333,5.033333
2016-Q1,4.366667,5.779163,6.033333,8.266666,7.2,6.033333,20.366670000000003,9.1,10.23333,5.733333,9.0,3.5333330000000003,11.56667,3.733333,3.233333,6.4,5.033333,5.3,6.466667,12.0,5.071035,7.133333,4.988755,10.33333,4.9
2016-Q2,4.233333,5.686433,6.2,8.133333,7.033333,6.0,20.1,8.933333,10.03333,5.066667,8.866667,3.433333,11.66667,3.6,3.166667,6.3,4.8,5.1,6.266667,11.33333,4.9213629999999995,6.9,4.941724,9.866667,4.933333
2016-Q3,4.1,5.646031,6.1666669999999995,7.733333,7.0,6.033333,19.33333,8.5,9.866667,4.733333,8.2,3.4,11.63333,3.766667,3.0333330000000003,6.3,4.766667,5.0,5.8333330000000005,10.93333,4.838883,6.866667,4.945848000000001,9.5,4.9
2016-Q4,3.933333,5.725965,5.766667,7.233333,6.966667,5.966667,18.7,8.766666,10.03333,4.3,7.466667,3.3,11.76667,3.666667,3.0,6.3,4.433333,5.3,5.533333,10.43333,4.742106,6.866667,4.795892,9.033334,4.766667
2017-Q1,3.9,5.786862999999999,5.766667,7.7,6.7,6.1,18.16667,8.8,9.6,4.3,7.366667,3.233333,11.53333,3.7,2.9,5.866667,4.3,4.9,5.233333,9.833333,4.5633,6.7,4.924563,8.633333,4.566667
2017-Q2,3.8,5.587657,5.533333,7.233333,6.533333,5.866667,17.366670000000003,8.866667,9.5,4.233333,6.7,3.2,11.2,3.6333330000000004,2.8666669999999996,5.533333,4.433333,4.8,5.033333,9.3,4.425402,6.733333,4.7049,8.3,4.4
2017-Q3,3.7,5.513017,5.366667,7.1,6.233333,5.8333330000000005,16.8,8.533334,9.533334,3.9,6.6,3.3,11.3,3.666667,2.8,5.533333,4.1,4.7,4.733333,8.8,4.266815,6.7,4.82865,7.9,4.3
2017-Q4,3.6333330000000004,5.4639489999999995,5.466667,6.433333,6.066667,5.466667,16.6,8.233334,9.066667,3.666667,6.3,3.3,11.0,3.7,2.7,5.466667,3.9666669999999997,4.5,4.433333,8.133333,4.352217,6.6,4.729554,7.6,4.133333
2018-Q1,3.5333330000000003,5.521843,5.033333,6.1,5.933333,5.2,16.16667,8.233334,9.2,3.666667,6.0,3.233333,10.9,3.766667,2.4666669999999997,5.5,3.933333,4.4,4.066667,7.6,4.198035,6.133333,4.883185,7.133333,4.033333
2018-Q2,3.4,5.419763,4.766667,6.233333,6.0,5.233333,15.433329999999998,7.266667,9.066667,3.566667,5.9,3.2,10.8,3.733333,2.3666669999999996,5.566667,3.8666669999999996,4.5,3.9,7.033333,4.036543,6.3,4.930765,6.7,3.933333
2018-Q3,3.4,5.182827,4.933333,5.733333,5.9,4.933333,14.9,7.3,9.0,3.666667,5.6,3.1333330000000004,10.3,4.066667,2.433333,5.633333,3.9666669999999997,4.0,3.8,6.8333330000000005,4.0733690000000005,6.366667,4.263446,6.3333330000000005,3.766667
2018-Q4,3.3,5.036932,4.8333330000000005,5.766667,5.8,5.033333,14.5,6.633333,8.833333,3.5333330000000003,5.6,3.1333330000000004,10.5,3.9,2.4666669999999997,5.366667,3.766667,4.3,3.6,6.633333,4.013542,6.5,4.774768,6.0,3.833333
2019-Q1,3.233333,5.025599,4.8,5.533333,5.866667,5.3,14.233329999999999,6.6,8.666667,3.333333,5.1,3.4,10.4,3.9666669999999997,2.4666669999999997,5.4,3.733333,4.2,3.433333,6.5,3.8178010000000002,6.766667,4.6401580000000004,5.866667,3.8666669999999996
2019-Q2,3.066667,5.229841,4.5,5.466667,5.6,4.933333,14.2,6.566667,8.5,3.266667,5.2,3.766667,10.03333,3.9,2.333333,5.7,3.433333,4.0,3.333333,6.6,3.892838,6.5,4.4667650000000005,5.766667,3.666667
2019-Q3,3.0333330000000003,5.229903,4.466667,5.233333,5.733333,4.8333330000000005,14.233329999999999,6.766667,8.466666,3.3,4.8333330000000005,4.1,9.533334,3.5333330000000003,2.333333,5.633333,3.8,4.2,3.4666669999999997,6.466667,3.8331980000000003,6.933333,4.414,5.766667,3.6
2019-Q4,3.2,5.163222,4.3333330000000005,5.2,5.733333,5.1,13.833329999999998,6.766667,8.233334,3.266667,4.733333,4.4,9.533334,3.6333330000000004,2.3,5.566667,3.9,4.1,3.4,6.633333,3.7685129999999996,6.966667,4.057595,5.633333,3.6
