Pays,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Finland,Finland,Finland,Finland,Finland,Finland,Finland,France,France,France,France,France,France,France,Hungary,Hungary,Hungary,Hungary,Hungary,Hungary,Hungary,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Norway,Norway,Norway,Norway,Norway,Norway,Norway,New-Zealand,New-Zealand,New-Zealand,New-Zealand,New-Zealand,New-Zealand,New-Zealand,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Slovak Republic,Slovak Republic,Slovak Republic,Slovak Republic,Slovak Republic,Slovak Republic,Slovak Republic,United-States,United-States,United-States,United-States,United-States,United-States,United-States
Variables,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports
1990-Q1,,,,5.05985123381007,,,,206.89,59.5996110333333,63.5594549666667,6.23001676666667,108.373,41.272,26.942,,,,3.15392325618783,,,,,,,,,,,275.46825,,,7.63333333333333,140.901,56.143,59.41575,,,,8.07938453106795,,,,,,,,,,,35.962,,,,18.443,10.374,5.507,368.386,,,,199.163,86.128,56.786,,,,,,,,,,,12.6266422603779,,,,,,,,,,,,,,,,,,109314.8,,,2.43333333333333,67730.3,41118.6,13410.2,,62.0986295888767,63.4323113996897,2.13333333333333,,,,,,,,,,,460.822,,,,161.024,99.651,175.108,27.703,58.9,63.5,7.2,15.845,5.039,5.833,,,,,,,,,,,,,,,305.893,,,,,65.832,57.775,,,,,,,,113.317452653,,,,60.062470309,29.411896166,42.055887559,,,,,,,,9358.289,63.2,66.7333333333333,5.3,5998.058,1695.374,682.3
1990-Q2,,,,4.91484253232251,,,,207.173,59.6628253,63.7865298333333,6.4645277,108.965,39.657,26.986,,,,3.26996866610814,,,,,,,,,,,274.3275,,,7.66666666666667,139.352,54.77875,61.57075,,,,8.40923014437444,,,,,,,,,,,35.474,,,,18.619,9.783,5.835,369.679,,,,199.633,86.516,55.761,,,,,,,,,,,12.7714943105851,,,,,,,,,,,,,,,,,,111753.2,,,2.3,69240.2,42497.6,13603.4,,62.1738407844441,63.516691638424,2.13333333333333,,,,,,,,,,,465.8,,,,164.703,88.134,181.215,27.59,59.2,64.1,7.7,15.887,5.006,5.974,,,,,,,,,,,,,,,307.471,,,,,64.894,57.66,,,,,,,,113.978585321,,,,60.06922976,29.494133788,43.602856357,,,,,,,,9392.251,63.0,66.5333333333333,5.33333333333333,6016.329,1668.437,690.785
1990-Q3,,,,4.71423148484384,,,,205.931,59.3097831,63.9286849,7.22537423333333,109.106,39.505,28.052,,,,3.41228158316816,,,,,,,,,,,272.3865,,,8.16666666666666,139.433,53.27875,61.21225,,,,8.21164236794594,,,,,,,,,,,34.717,,,,18.378,9.438,5.541,371.313,,,,200.218,86.884,56.306,,,,,,,,,,,12.9786155502183,,,,,,,,,,,,,,,,,,115366.1,,,2.53333333333333,70678.9,45637.0,14198.8,,62.2882339289858,63.6242259808588,2.06666666666667,,,,,,,,,,,461.219,,,,165.587,79.238,183.769,27.594,58.7,63.9,8.1,15.917,5.051,6.19,,,,,,,,,,,,,,,304.257,,,,,64.302,57.587,,,,,,,,113.561986474,,,,60.319090564,29.402856276,41.188452073,,,,,,,,9398.499,62.6666666666667,66.4666666666667,5.7,6040.163,1659.143,696.014
1990-Q4,,,,4.57732851805029,,,,207.139,58.6863465333333,63.6977438333333,7.86750946666667,108.421,38.098,28.496,,,,3.23916512456037,,,,,,,,,,,269.959,,,9.13333333333333,138.98875,51.371,59.5875,,,,8.44195377651536,,,,,,,,,,,34.514,,,,18.083,9.278,5.712,372.254,,,,201.407,86.907,57.419,,,,,,,,,,,13.3058855084788,,,,,,,,,,,,,,,,,,117711.8,,,2.56666666666667,72274.7,46348.4,14105.5,,62.3838958119856,63.716016672314,2.06666666666667,,,,,,,,,,,473.569,,,,164.512,80.03,193.805,28.14,58.2,63.9,8.9,16.192,5.086,6.233,,,,,,,,,,,,,,,303.21,,,,,63.582,58.048,,,,,,,,113.071186992,,,,60.739437907,29.166747038,41.371460131,,,,,,,,9312.937,62.3333333333333,66.4,6.13333333333333,5994.212,1628.395,702.143
1991-Q1,557.3467,,,5.20502795668186,314.05172,121.03089,108.56087,204.453,57.8631614,63.3995391333333,8.73255903333333,108.655,36.525,29.718,,,,3.38381744212655,,,,,,,,,,,266.1065,,,10.1666666666667,136.22125,51.79275,58.3625,,,,8.83925755542688,,,,,,,,,,,33.832,,,,17.87,8.699,5.11,372.104,,,,201.232,86.074,57.623,,,,,,,,,,,14.298508640832,,,,,,,,,,,,,,,,,,122126.2,,,2.5,73458.2,48094.4,14846.9,,62.5988924050633,63.9206986697762,2.1,,,,,,,,,,,477.587,,,,167.113,88.751,191.488,27.214,57.7,64.0,9.8,15.743,4.556,6.421,,,,,,,,,,,,,,,302.325,,,,,60.688,55.892,,,,,,,,113.236240645,,,,61.009592142,29.335748118,42.759403306,,,,,,,,9269.367,61.9,66.2333333333333,6.6,5971.672,1587.408,706.434
1991-Q2,554.39617,,,5.39442604789333,317.29763,122.28801,102.20626,204.195,57.2758642333333,63.3824552,9.63393596666666,109.105,35.511,31.2,,,,3.44204977769664,,,,,,,,,,,267.34725,,,10.3333333333333,138.513,51.2055,60.9335,,,,9.23219928144092,,,,,,,,,,,33.43,,,,17.892,8.333,4.83,373.361,,,,201.42,86.448,59.222,,,,,,,,,,,14.6257361301186,,,,,,,,,,,,,,,,,,124155.3,,,2.3,75278.3,50174.6,15707.8,,62.6831832818558,64.023731112356,2.1,,,,,,,,,,,480.085,,,,165.095,82.227,195.463,26.945,57.3,64.0,10.5,15.516,4.056,6.56,,,,,,,,,,,,,,,301.943,,,,,59.78,57.74,,,,,,,,112.15416412,,,,61.357522138,29.354072232,40.733640262,,,,,,,,9341.642,61.7666666666667,66.2666666666667,6.83333333333333,6021.163,1596.569,732.19
1991-Q3,553.26133,,,5.90834794538491,311.48704,123.03014,107.21186,205.034,56.7353096333333,62.9255337,9.83714746666666,110.397,35.837,31.9,,,,3.58801037215482,,,,,,,,,,,267.70525,,,10.4333333333333,138.454,51.36525,63.2585,,,,9.00754023639433,,,,,,,,,,,32.751,,,,17.955,7.856,5.467,374.567,,,,201.062,86.281,60.904,,,,,,,,,,,14.8414782207899,,,,,,,,,,,,,,,,,,126818.8,,,2.4,77555.1,50073.0,14950.4,,62.7732441910006,64.1496625151303,2.1,,,,,,,,,,,478.912,,,,168.467,93.321,194.019,27.223,56.8,63.9,11.2,15.59,4.146,6.831,,,,,,,,,,,,,,,301.285,,,,,58.687,58.625,,,,,,,,112.154298994,,,,61.395392997,28.768051588,40.952752219,,,,,,,,9388.845,61.5666666666667,66.1,6.86666666666667,6051.184,1596.484,749.521
1991-Q4,560.44854,,,6.05918964457802,317.81857,126.3471,107.49585,205.172,56.3689818,62.7856758,10.2196774666667,110.577,35.843,32.014,,,,3.61347404813529,,,,,,,,,,,268.19925,,,10.3333333333333,139.263,52.085,63.154,,,,9.20245879762279,,,,,,,,,,,32.375,,,,17.597,7.41,5.406,376.16,,,,202.02,85.704,62.201,,,,,,,,,,,14.973575541911,,,,,,,,,,,,,,,,,,129993.8,,,2.46666666666667,78987.8,52415.5,16573.4,,62.8132155708211,64.14780828568,2.06666666666667,,,,,,,,,,,482.424,,,,167.789,82.992,196.891,27.247,56.4,63.4,11.0,15.523,4.176,7.022,,,,,,,,,,,,,,,301.811,,,,,58.902,58.445,,,,,,,,112.55237384,,,,61.803692028,27.800250609,41.076101941,,,,,,,,9421.565,61.3666666666667,66.0666666666667,7.1,6048.156,1597.712,766.393
1992-Q1,568.90282,,,6.43229268815766,321.20486,130.08813,108.58731,206.707,56.3735077,62.9284980666667,10.4166079666667,111.731,35.865,31.783,,,,3.39248073723616,,,,,,,,,,,268.39475,,,10.6,139.307,51.72325,63.684,,,,8.81665894938532,,,,,,,,,,,32.471,,,,17.285,7.281,5.625,380.013,,,,202.389,86.314,63.679,,,,,,,,,,,14.881008031244,,,,,,,,,,,,,,,,,,132308.2,,,2.4,79845.0,53704.5,16738.2,,62.9356721332855,64.2723977680438,2.06666666666667,,,,,,,,,,,492.683,,,,169.041,73.364,205.227,27.379,56.7,63.6,11.0,15.628,4.34,6.713,,,,,,,,,,,,,,,301.831,,,,,59.061,59.091,,,,,,,,113.402165949,,,,61.756651664,27.185620116,43.192663756,,,,,,,,9534.346,61.4333333333333,66.3,7.36666666666667,6161.398,1619.962,780.24
