,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,Pays
PIB,,,,,557.3467,554.39617,553.26133,560.44854,568.90282,564.51497,563.5315,561.7915,557.66818,557.51685,560.84578,560.31617,568.1653,569.52707,573.6124,580.27002,578.30298,582.61531,583.75013,583.82579,579.05954,586.92762,588.9703,593.35825,590.19942,597.76509,599.80785,604.27161,609.83197,607.2598,610.2859,607.5624,614.59838,614.5984,621.7097,626.55141,635.49778,640.71796,640.56668,638.52398,651.38525,651.08259,649.94781,649.26693,645.84366,648.56716,651.89582,650.98804,641.24756,642.00406,646.92163,648.66168,647.52688,650.85564,649.56955,648.88865,648.88864,652.36872,657.89151,661.06901,667.424,678.92346,684.2193,694.50827,695.01917,700.84443,704.40006,709.09054,713.57324,711.75753,707.29394,695.94572,663.41434,664.4735,668.10489,673.02242,678.62089,693.75175,699.50151,705.02431,718.86905,719.4743,725.75366,723.48397,725.05381,726.5669,728.53389,725.35643,722.04655,729.76328,733.69733,736.04264,743.07854,743.15415,746.78556,752.98929,749.1878,754.5591,757.81215,761.36782,767.96882,770.99502,772.88639,775.83689,785.36936,790.51387,797.47409,804.13164,802.4673,806.25003,803.60208,806.32566,811.26217,807.17671,809.6734,809.52207,Germany
Emplois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.99010362178,51.7730865764407,51.839426049736,51.970809680832,52.4844874116006,52.8139466767412,53.0919861211305,53.2650105627425,53.5839276534509,54.0081567537884,54.2014285684307,54.3174505617025,54.5592403520361,54.456199124346,55.0954312154763,55.0071357906501,54.7585405321322,54.7099469097342,54.4951248111845,55.2123989039334,54.9218375576315,55.1548637882055,55.3470053693438,55.5131457799023,56.0513324550586,56.630687982063,56.7479301705742,56.9311241586652,56.6579100873558,56.813749669995,56.9396841266626,56.9321953190977,57.0602079719546,57.2673203746078,57.2109019681727,57.2454014520731,57.2667994071174,57.4122954443497,57.4802000580004,57.4367958786858,57.2111563923864,57.2713517002651,57.4028764139847,57.6608408774764,58.300197453189,58.3303487379199,58.5902538596904,58.7511296264306,58.6569402248352,58.847564249291,59.0582781609378,59.1058730858648,59.0710990737254,59.0649315425208,59.2988264211608,59.4033719365316,59.7012221783031,59.8916452642291,59.9912026455126,60.2988060331679,Germany
Actifs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3071844391334,58.3660769909523,58.4698401288992,58.522739207671,58.8412645463784,58.9132449540943,58.9683742268338,59.105481787516,58.9412754312079,59.1697982793631,59.2552049693132,59.2305353194292,59.1793659441376,59.0434476777319,59.4232997739881,59.3019772517011,59.2839274791634,59.337526931593,59.2241607065332,59.7223933852431,59.3554707673813,59.3409000131183,59.3382723496924,59.4446497083803,59.7482439939861,60.1733770590462,60.2132318934107,60.2258094520353,59.9289431506105,60.0418800804794,60.1659993620647,60.1316972185661,60.281444361137,60.4513872633742,60.3383535201217,60.3401399143265,60.3431554899288,60.4128193724441,60.4822111466397,60.3928657419389,60.0481323820488,60.0995850182892,60.1087735430831,60.4189191649924,60.9253336255924,60.8905540199589,61.0909110586007,61.1234597605188,61.0360837116426,61.1499782106638,61.3234518441505,61.3294266973722,61.1836854336491,61.1794937255312,61.3504205420456,61.4185160455482,61.6526335038784,61.7954467790983,61.9263338107,62.2826534564434,Germany
Chomage,5.05985123381007,4.91484253232251,4.71423148484384,4.57732851805029,5.20502795668186,5.39442604789333,5.90834794538491,6.05918964457802,6.43229268815766,6.54903856559371,6.76038394473812,7.07352660128464,7.37362895973398,7.7812003634503,8.16891482273833,8.5204723378075,8.59621589740809,8.6572464347625,8.46660182768792,8.24586808008004,8.08325823592824,8.12475295952074,8.23630429973539,8.38982660987273,8.71695834381552,8.78083572935459,9.0193551677497,9.30178221653342,9.67741750337834,9.88618861080405,10.0419106599213,10.0450035151831,9.7493933041744,9.41774698081851,9.10788273808886,8.87921373571753,8.65037910093826,8.57180761054429,8.41781566098656,8.21808818722824,8.03971932990089,7.84017658574683,7.71742869680762,7.60112212588784,7.68081477448145,7.75928149010527,7.92563925677853,8.15614178596228,8.2924008329534,8.53354674344854,8.83683890603115,9.15105122597664,9.52878905576483,9.72453589516122,9.7779463902863,9.74218062942334,9.71970683382038,9.68897006352809,9.92554752752272,10.0638036921673,10.8341379850843,11.2959286531004,11.339887477965,11.195527782097,10.8032639743277,10.353017020376,9.96532155202146,9.88143747101157,9.08929733631184,8.7234394499786,8.52883118622178,8.2948511797682,7.80698731456953,7.76927624285052,7.28311718630988,7.24232421934602,7.63341286493158,7.79874096740458,7.9849774803597,7.55159702361186,7.46962858255405,7.05421762054068,6.72629455206787,6.61372208897668,6.18748149200768,5.88746925988033,5.75505020054528,5.47055377644039,5.4581857968596,5.37646457132503,5.36235626368794,5.32082420331309,5.34366159159114,5.26715272040669,5.18319007645122,5.12882215163479,5.09810277211114,4.96670070899394,4.96346120905022,4.8947335532718,4.72450328948203,4.70591155856303,4.50166750975032,4.56492490371144,4.30877603155332,4.20460172065406,4.09333754494444,3.88121049329167,3.89792945767504,3.76519179359457,3.6938130765527,3.62559008170658,3.45285895243214,3.45632507600831,3.34405877377603,3.28100422928187,3.16517107976006,3.08081195961706,3.12489218416,3.18523266620755,Germany
Conso,,,,,314.05172,317.29763,311.48704,317.81857,321.20486,320.92432,321.32507,330.78289,321.55559,321.91626,324.72146,328.32811,327.36635,325.36264,329.04946,331.81459,330.52229,335.05055,334.6899,335.4112,337.43494,339.27842,339.51886,340.12002,341.10181,342.34408,340.58084,344.14735,344.79866,344.03722,347.44353,350.16858,353.86538,355.26803,354.38635,357.19165,359.70623,363.43315,362.31108,360.26728,366.8495,365.72738,365.8877,365.64725,360.93854,358.57421,361.21905,363.70359,361.74003,361.90033,363.34295,363.70361,363.51329,363.43314,362.51142,365.3567,366.82947,366.62907,366.54894,367.91141,369.57444,371.17745,371.41793,377.50937,367.76116,372.28956,373.17116,373.21126,371.52812,372.28956,372.57008,372.77044,375.82621,374.14302,370.41602,368.97331,370.77665,374.58381,375.42538,377.34901,379.55296,378.91175,383.1998,384.36198,385.9048,387.42762,387.94854,388.34927,387.60788,389.61165,390.65359,389.77193,391.07442,391.43504,394.64094,397.04529,397.00541,399.69033,402.5355,403.77781,407.48468,408.36636,410.41017,412.57423,413.6061,415.40942,418.13446,421.26028,422.17196,422.85321,422.65285,425.81867,429.63579,429.51557,430.67772,430.91815,Germany
Formation,,,,,121.03089,122.28801,123.03014,126.3471,130.08813,128.96734,125.68068,125.40805,122.46974,121.47012,122.22741,120.34932,124.12065,125.51408,126.13506,128.7553,125.60494,126.86206,126.7106,125.72612,118.97103,128.27063,128.07373,128.30092,123.94261,126.85071,127.01732,128.25932,131.67845,130.16387,131.57243,130.54251,134.57506,135.48383,137.6952,136.99847,139.82695,139.4786,140.76599,139.418,140.3722,137.29759,135.11657,133.78373,130.42134,128.43724,127.61936,126.84691,126.57049,125.90409,126.28272,126.01011,124.15473,124.92718,124.63941,123.76091,122.33344,124.51444,126.43796,129.86094,128.73657,136.96057,137.21804,141.27703,141.62931,139.66036,140.38735,143.56799,145.12802,142.32602,142.47748,140.59938,129.41793,129.09987,129.66025,128.63036,129.13756,136.99848,138.67974,137.42259,144.35558,145.09772,147.20301,146.65776,146.89629,146.56309,146.3359,145.79066,140.06562,144.97275,145.3211,148.27448,150.80772,148.3238,148.36923,149.70207,149.73237,149.56575,150.70171,154.13983,157.29397,155.18864,156.67299,156.90017,158.83505,161.30383,162.47006,163.49999,165.19634,166.66549,167.83172,169.84613,172.33384,171.69771,171.59169,171.18274,Germany
Exports,,,,,108.56087,102.20626,107.21186,107.49585,108.58731,103.47565,106.45744,101.66527,99.56196,97.46778,97.96472,99.91691,102.91626,107.85084,107.49583,108.24134,112.23482,113.26418,114.18705,116.24576,117.47035,118.03835,121.12687,126.91342,128.63507,132.68155,139.81611,142.22979,144.82157,147.27078,145.88645,143.93419,144.26246,151.92995,155.44421,158.99398,166.30649,172.41209,175.53588,184.80076,184.41029,185.15575,184.97826,186.93063,186.44221,192.1931,195.56554,198.68946,193.00943,192.29945,198.29882,203.12672,211.74349,220.75988,217.21012,218.80753,223.71474,227.44213,236.92036,241.21574,248.85538,256.20389,264.0139,279.49193,277.69813,284.47816,290.54827,292.78462,296.28982,295.04742,292.88216,275.9503,244.31227,242.11125,250.41831,257.69584,265.47861,284.22079,288.87084,295.54421,302.93695,307.16116,310.67543,310.03647,315.8226,318.59141,322.60265,317.66846,316.8433,318.47615,324.29762,330.22555,330.38532,333.26069,340.04092,346.53716,349.0129,355.82843,356.2189,354.9765,357.89608,362.61738,362.01389,365.98975,372.72534,379.32789,383.90707,390.86463,390.79361,392.88799,389.30272,391.25509,397.3962,391.1486,396.0473,394.94687,Germany
PIB,206.89,207.173,205.931,207.139,204.453,204.195,205.034,205.172,206.707,208.193,210.305,214.62,216.105,217.327,217.554,221.594,225.301,228.104,229.839,232.09,232.016,232.863,238.186,238.246,242.299,244.023,245.961,248.197,249.712,257.072,257.409,261.07,262.859,265.414,270.555,274.719,276.845,277.742,281.011,285.796,286.832,289.48,290.041,288.954,291.89,294.306,297.867,301.437,303.715,308.796,309.875,312.152,312.462,313.509,318.795,324.094,326.766,328.957,331.446,334.004,336.632,338.139,341.767,344.616,345.344,345.948,351.059,355.635,360.902,363.04,367.054,368.879,373.073,373.962,376.755,375.062,378.86,381.015,382.135,384.971,386.903,388.938,391.585,395.603,394.55,399.207,404.552,409.211,412.998,416.127,418.589,420.818,422.058,423.891,427.314,430.854,433.773,436.108,438.224,439.844,443.548,444.321,449.034,451.623,455.475,458.735,459.262,463.867,465.152,468.338,472.925,475.223,479.522,483.707,485.489,486.394,488.812,491.985,494.974,496.921,Australia
Emplois,59.5996110333333,59.6628253,59.3097831,58.6863465333333,57.8631614,57.2758642333333,56.7353096333333,56.3689818,56.3735077,56.1257576666667,56.1719595,55.6844260666667,55.6334097666667,55.4682640666667,55.5658997,56.0165133333333,56.2453309666667,56.5212768333333,57.1274961666667,57.3164514,57.7126705666667,58.1700781,58.3032247666667,58.3834776666667,58.2956735,58.2271808333333,58.0420398333333,57.9004796,57.8753879,57.6971796,57.7109477666667,57.9915902333333,57.9577059333333,58.0887313,58.2451886666667,58.3130656333333,58.2398986666667,58.2694645333333,58.4776512333333,58.7534763333333,58.7049796666667,59.1544437333333,59.6550951,59.1054883,58.9712630333333,59.0882271333333,59.0483367333333,59.0287958666667,59.1263923333333,59.0897670666667,59.3421070666667,59.6296209333333,60.0152583,59.6856721,59.6455977,59.8052761333333,59.7934757666667,59.9018228,59.9286714,60.4604644,60.8487776666667,61.1417665333333,61.3254570666667,61.2135338333333,61.2335437666667,61.4949274,61.9346864,61.9312473666667,62.0140718666667,62.2462715666667,62.4596712333333,62.5556269,62.7291498666667,62.7433158333333,62.7831058333333,62.4978318333333,62.1400892333333,61.7438331333333,61.6015642666667,61.6461748666667,61.789788,61.7136590333333,62.0589062666667,62.3398757,62.3659718333333,62.065555,62.0478436666667,61.8905549333333,61.9040693333333,61.8287298666667,61.6911839333333,61.564887,61.6309407333333,61.4197476333333,61.1580813666667,60.8611643,60.8276941666667,60.8070847333333,60.6934141333333,60.5659654666667,60.8195743333333,60.9185541,60.9848235,61.3700994,61.2978906333333,61.1868705,61.0427277,60.9861986333333,61.0168826666667,61.3597370666667,61.6569054333333,61.9448657666667,62.0603986,62.0121337333333,62.1217689666667,62.3232935666667,62.3697321,62.5071439,62.6226848333333,62.5343202666667,Australia
Actifs,63.5594549666667,63.7865298333333,63.9286849,63.6977438333333,63.3995391333333,63.3824552,62.9255337,62.7856758,62.9284980666667,62.8045721666667,62.9896266333333,62.6712115,62.4408239666667,62.2184495333333,62.3549488,62.860575,62.8023138666667,62.7199527333333,63.1073221666667,63.0244716,63.2578343333333,63.4802976333333,63.6282772333333,63.7306777666667,63.6420900666667,63.5780276,63.5177642333333,63.3625625666667,63.3351627333333,63.0449624,62.9852205,63.0183300666667,62.8883566,62.9577183333333,63.1642301,62.9559919,62.6789598333333,62.5786234333333,62.7943840666667,62.9279092333333,62.8873023,63.1331455333333,63.4557841,62.9930262,62.9812536,63.4467668666667,63.4023625,63.4579061,63.3228548333333,63.1335309333333,63.3185985666667,63.5422236666667,63.8839725666667,63.5302699,63.3896886333333,63.4260221333333,63.2985937,63.3454442,63.4022363,63.7215683333333,64.1238667333333,64.3988951,64.5243515666667,64.4405505333333,64.4870372333333,64.6349157333333,64.9735829,64.8601124,64.9706457333334,65.0605339666667,65.2343858333334,65.4033407,65.4022594,65.5346777333333,65.5238628666667,65.4025221666666,65.6248031666667,65.4967185333333,65.3104658,65.2739777,65.2703142333333,65.1618336666667,65.4079956,65.6834413666666,65.6289022,65.3070580333333,65.4436697666666,65.2890076333333,65.2630067,65.1648388666667,65.1230964,65.056852,65.2056746666667,65.0844742666667,64.8671646333333,64.6373591,64.6404338333334,64.6376644666667,64.6780858333333,64.6087055,64.8279136,64.8182045,64.9962278666667,65.1765107666667,65.0579219,64.8759951,64.6954998666667,64.6904693666667,64.7647715666666,64.9912265,65.2543498666666,65.5253608666667,65.6875609333333,65.5656235333333,65.5175089,65.6289972666667,65.6700769,65.9565721333333,66.0785288666667,65.9388922666666,Australia
