"","w.weight"
"1",1.4182456493723e-07
"2",1.40726296978619e-07
"3",5.16465595159266e-08
"4",0.29729517563478
"5",1.04977638527795e-06
"6",5.8316454431203e-08
"7",1.08238759817755e-07
"8",7.0270462931177e-08
"9",2.43245999925091e-08
"10",6.26027331861589e-08
"11",0.375225869449472
"12",7.02740625499524e-08
"13",0.0298076297137591
"14",0.00836240726055391
"15",1.18471568079713e-07
"16",0.00185841918988937
"17",0.0421520333847987
"18",1.67299794864408e-07
"19",1.23884333353642e-07
"20",0.197987260114899
"21",0.000835607492903462
"22",0.0464733251059678
"23",3.4513372120604e-08
"24",5.04835767823166e-08
